Freq.	V(vout)/V(+)
2.00000000000000e+00	(6.02025192277476e+00dB,-1.44022940816213e+00)
2.99899899899900e+00	(6.02024998846443e+00dB,-2.15990690042797e+00)
3.99799799799800e+00	(6.02024501293237e+00dB,-2.87992416735546e+00)
4.99699699699700e+00	(6.02023472958974e+00dB,-3.60039388913204e+00)
5.99599599599600e+00	(6.02021622465791e+00dB,-4.32142831402638e+00)
6.99499499499500e+00	(6.02018593722373e+00dB,-5.04313914857958e+00)
7.99399399399400e+00	(6.02013965933794e+00dB,-5.76563744655408e+00)
8.99299299299299e+00	(6.02007253617539e+00dB,-6.48903349640436e+00)
9.99199199199199e+00	(6.01997906627913e+00dB,-7.21343670704060e+00)
1.09909909909910e+01	(6.01985310191324e+00dB,-7.93895549166527e+00)
1.19899899899900e+01	(6.01968784955362e+00dB,-8.66569714947101e+00)
1.29889889889890e+01	(6.01947587054822e+00dB,-9.39376774500081e+00)
1.39879879879880e+01	(6.01920908198213e+00dB,-1.01232719849824e+01)
1.49869869869870e+01	(6.01887875778627e+00dB,-1.08543130924639e+01)
1.59859859859860e+01	(6.01847553013110e+00dB,-1.15869926780928e+01)
1.69849849849850e+01	(6.01798939115055e+00dB,-1.23214106083972e+01)
1.79839839839840e+01	(6.01740969504414e+00dB,-1.30576648709482e+01)
1.89829829829830e+01	(6.01672516060829e+00dB,-1.37958514363018e+01)
1.99819819819820e+01	(6.01592387425092e+00dB,-1.45360641166427e+01)
2.09809809809810e+01	(6.01499329354607e+00dB,-1.52783944210749e+01)
2.19799799799800e+01	(6.01392025138796e+00dB,-1.60229314075318e+01)
2.29789789789790e+01	(6.01269096080636e+00dB,-1.67697615313078e+01)
2.39779779779780e+01	(6.01129102050761e+00dB,-1.75189684902410e+01)
2.49769769769770e+01	(6.00970542120738e+00dB,-1.82706330666120e+01)
2.59759759759760e+01	(6.00791855282320e+00dB,-1.90248329658573e+01)
2.69749749749750e+01	(6.00591421259633e+00dB,-1.97816426522317e+01)
2.79739739739740e+01	(6.00367561421384e+00dB,-2.05411331815948e+01)
2.89729729729730e+01	(6.00118539800172e+00dB,-2.13033720315357e+01)
2.99719719719720e+01	(5.99842564226173e+00dB,-2.20684229290925e+01)
3.09709709709710e+01	(5.99537787582298e+00dB,-2.28363456763697e+01)
3.19699699699700e+01	(5.99202309187982e+00dB,-2.36071959743998e+01)
3.29689689689690e+01	(5.98834176318587e+00dB,-2.43810252456448e+01)
3.39679679679680e+01	(5.98431385867259e+00dB,-2.51578804555817e+01)
3.49669669669670e+01	(5.97991886155833e+00dB,-2.59378039338650e+01)
3.59659659659660e+01	(5.97513578901069e+00dB,-2.67208331956102e+01)
3.69649649649650e+01	(5.96994321342170e+00dB,-2.75070007633936e+01)
3.79639639639640e+01	(5.96431928535016e+00dB,-2.82963339906128e+01)
3.89629629629630e+01	(5.95824175818086e+00dB,-2.90888548869043e+01)
3.99619619619620e+01	(5.95168801454405e+00dB,-2.98845799463631e+01)
4.09609609609610e+01	(5.94463509453157e+00dB,-3.06835199793561e+01)
4.19599599599600e+01	(5.93705972573840e+00dB,-3.14856799487694e+01)
4.29589589589590e+01	(5.92893835514972e+00dB,-3.22910588115700e+01)
4.39579579579580e+01	(5.92024718288414e+00dB,-3.30996493666044e+01)
4.49569569569570e+01	(5.91096219779342e+00dB,-3.39114381095917e+01)
4.59559559559560e+01	(5.90105921490770e+00dB,-3.47264050963009e+01)
4.69549549549550e+01	(5.89051391470367e+00dB,-3.55445238149270e+01)
4.79539539539540e+01	(5.87930188416003e+00dB,-3.63657610687036e+01)
4.89529529529530e+01	(5.86739865955140e+00dB,-3.71900768697989e+01)
4.99519519519520e+01	(5.85477977091808e+00dB,-3.80174243455522e+01)
5.09509509509510e+01	(5.84142078813396e+00dB,-3.88477496581044e+01)
5.19499499499500e+01	(5.82729736848058e+00dB,-3.96809919384643e+01)
5.29489489489490e+01	(5.81238530561983e+00dB,-4.05170832360349e+01)
5.39479479479480e+01	(5.79666057984236e+00dB,-4.13559484845930e+01)
5.49469469469470e+01	(5.78009940945335e+00dB,-4.21975054856758e+01)
5.59459459459460e+01	(5.76267830314226e+00dB,-4.30416649102777e+01)
5.69449449449450e+01	(5.74437411316792e+00dB,-4.38883303197008e+01)
5.79439439439440e+01	(5.72516408917591e+00dB,-4.47373982063290e+01)
5.89429429429430e+01	(5.70502593245147e+00dB,-4.55887580550140e+01)
5.99419419419420e+01	(5.68393785039821e+00dB,-4.64422924256692e+01)
6.09409409409410e+01	(5.66187861102085e+00dB,-4.72978770575617e+01)
6.19399399399400e+01	(5.63882759717974e+00dB,-4.81553809956822e+01)
6.29389389389390e+01	(5.61476486037560e+00dB,-4.90146667394477e+01)
6.39379379379380e+01	(5.58967117381559e+00dB,-4.98755904138641e+01)
6.49369369369369e+01	(5.56352808450535e+00dB,-5.07380019631350e+01)
6.59359359359359e+01	(5.53631796410876e+00dB,-5.16017453665621e+01)
6.69349349349349e+01	(5.50802405831454e+00dB,-5.24666588764314e+01)
6.79339339339339e+01	(5.47863053444960e+00dB,-5.33325752774286e+01)
6.89329329329329e+01	(5.44812252708184e+00dB,-5.41993221669738e+01)
6.99319319319319e+01	(5.41648618135986e+00dB,-5.50667222557089e+01)
7.09309309309309e+01	(5.38370869384464e+00dB,-5.59345936872216e+01)
7.19299299299299e+01	(5.34977835059808e+00dB,-5.68027503759394e+01)
7.29289289289289e+01	(5.31468456230536e+00dB,-5.76710023619813e+01)
7.39279279279279e+01	(5.27841789622245e+00dB,-5.85391561816213e+01)
7.49269269269269e+01	(5.24097010475694e+00dB,-5.94070152518852e+01)
7.59259259259259e+01	(5.20233415050877e+00dB,-6.02743802676871e+01)
7.69249249249249e+01	(5.16250422761817e+00dB,-6.11410496098040e+01)
7.79239239239239e+01	(5.12147577929007e+00dB,-6.20068197618935e+01)
7.89229229229229e+01	(5.07924551138828e+00dB,-6.28714857346838e+01)
7.99219219219219e+01	(5.03581140201732e+00dB,-6.37348414953976e+01)
8.09209209209209e+01	(4.99117270703553e+00dB,-6.45966804004301e+01)
8.19199199199199e+01	(4.94532996146988e+00dB,-6.54567956292705e+01)
8.29189189189189e+01	(4.89828497682937e+00dB,-6.63149806176427e+01)
8.39179179179179e+01	(4.85004083434089e+00dB,-6.71710294878509e+01)
8.49169169169169e+01	(4.80060187415800e+00dB,-6.80247374743373e+01)
8.59159159159159e+01	(4.74997368061909e+00dB,-6.88759013425025e+01)
8.69149149149149e+01	(4.69816306365657e+00dB,-6.97243197988946e+01)
8.79139139139139e+01	(4.64517803648289e+00dB,-7.05697938909496e+01)
8.89129129129129e+01	(4.59102778970173e+00dB,-7.14121273945543e+01)
8.99119119119119e+01	(4.53572266201395e+00dB,-7.22511271878049e+01)
9.09109109109109e+01	(4.47927410770686e+00dB,-7.30866036094499e+01)
9.19099099099099e+01	(4.42169466113312e+00dB,-7.39183708006323e+01)
9.29089089089089e+01	(4.36299789840023e+00dB,-7.47462470286817e+01)
9.39079079079079e+01	(4.30319839650455e+00dB,-7.55700549918468e+01)
9.49069069069069e+01	(4.24231169015475e+00dB,-7.63896221040121e+01)
9.59059059059059e+01	(4.18035422653699e+00dB,-7.72047807585882e+01)
9.69049049049049e+01	(4.11734331828076e+00dB,-7.80153685709259e+01)
9.79039039039039e+01	(4.05329709488703e+00dB,-7.88212285987541e+01)
9.89029029029029e+01	(3.98823445288204e+00dB,-7.96222095402964e+01)
9.99019019019019e+01	(3.92217500495855e+00dB,-8.04181659098733e+01)
