Freq.	V(out)/V(in)
2.00000000000000e+00	(-1.25254979679615e+02dB,-1.78728452020948e+02)
2.04658598456151e+00	(-1.24854826457372e+02dB,-1.78698852514420e+02)
2.09425709610180e+00	(-1.24454666019664e+02dB,-1.78668564879847e+02)
2.14303861047521e+00	(-1.24054498026984e+02dB,-1.78637573183904e+02)
2.19295639228637e+00	(-1.23654322123878e+02dB,-1.78605861128925e+02)
2.24403690860393e+00	(-1.23254137938196e+02dB,-1.78573412044908e+02)
2.29630724299376e+00	(-1.22853945080314e+02dB,-1.78540208881358e+02)
2.34979510987906e+00	(-1.22453743142315e+02dB,-1.78506234198982e+02)
2.40452886923483e+00	(-1.22053531697131e+02dB,-1.78471470161227e+02)
2.46053754162476e+00	(-1.21653310297655e+02dB,-1.78435898525665e+02)
2.51785082358833e+00	(-1.21253078475796e+02dB,-1.78399500635222e+02)
2.57649910338627e+00	(-1.20852835741505e+02dB,-1.78362257409251e+02)
2.63651347711281e+00	(-1.20452581581747e+02dB,-1.78324149334453e+02)
2.69792576518331e+00	(-1.20052315459429e+02dB,-1.78285156455633e+02)
2.76076852920577e+00	(-1.19652036812278e+02dB,-1.78245258366309e+02)
2.82507508924551e+00	(-1.19251745051667e+02dB,-1.78204434199162e+02)
2.89087954149185e+00	(-1.18851439561386e+02dB,-1.78162662616337e+02)
2.95821677633641e+00	(-1.18451119696358e+02dB,-1.78119921799577e+02)
3.02712249687242e+00	(-1.18050784781296e+02dB,-1.78076189440225e+02)
3.09763323782496e+00	(-1.17650434109297e+02dB,-1.78031442729063e+02)
3.16978638492223e+00	(-1.17250066940370e+02dB,-1.77985658346007e+02)
3.24362019471786e+00	(-1.16849682499904e+02dB,-1.77938812449662e+02)
3.31917381487512e+00	(-1.16449279977054e+02dB,-1.77890880666729e+02)
3.39648730492349e+00	(-1.16048858523064e+02dB,-1.77841838081283e+02)
3.47560165749875e+00	(-1.15648417249510e+02dB,-1.77791659223914e+02)
3.55655882007784e+00	(-1.15247955226456e+02dB,-1.77740318060739e+02)
3.63940171721996e+00	(-1.14847471480543e+02dB,-1.77687787982302e+02)
3.72417427332573e+00	(-1.14446964992970e+02dB,-1.77634041792344e+02)
3.81092143592649e+00	(-1.14046434697400e+02dB,-1.77579051696484e+02)
3.89968919951609e+00	(-1.13645879477765e+02dB,-1.77522789290781e+02)
3.99052462993776e+00	(-1.13245298165971e+02dB,-1.77465225550224e+02)
4.08347588933905e+00	(-1.12844689539502e+02dB,-1.77406330817133e+02)
4.17859226170807e+00	(-1.12444052318915e+02dB,-1.77346074789487e+02)
4.27592417900446e+00	(-1.12043385165223e+02dB,-1.77284426509209e+02)
4.37552324789910e+00	(-1.11642686677161e+02dB,-1.77221354350396e+02)
4.47744227713667e+00	(-1.11241955388332e+02dB,-1.77156826007525e+02)
4.58173530553554e+00	(-1.10841189764219e+02dB,-1.77090808483652e+02)
4.68845763063984e+00	(-1.10440388199077e+02dB,-1.77023268078611e+02)
4.79766583803898e+00	(-1.10039549012672e+02dB,-1.76954170377243e+02)
4.90941783137005e+00	(-1.09638670446890e+02dB,-1.76883480237671e+02)
5.02377286301915e+00	(-1.09237750662192e+02dB,-1.76811161779644e+02)
