Frequency,Vin_Original,Vout_Original,Gain_Original_dB,Vin_HighVoltage,Vout_HighVoltage,Gain_HighVoltage_dB
2,5.11,0.11,-33.34,NaN,NaN,NaN
3,5.11,0.11,-33.34,NaN,NaN,NaN
4,5.11,0.11,-33.34,NaN,NaN,NaN
5,5.11,0.11,-33.34,NaN,NaN,NaN
6,5.11,0.11,-33.34,NaN,NaN,NaN
7,5.11,0.11,-33.34,NaN,NaN,NaN
8,5.11,0.11,-33.34,NaN,NaN,NaN
9,5.11,0.11,-33.34,NaN,NaN,NaN
10,5.11,0.11,-33.34,NaN,NaN,NaN
20,5.11,0.11,-33.34,21.3,0.11,-45.74
30,5.11,0.11,-33.34,21.3,0.12,-45.33
40,5.11,0.11,-33.34,21.3,0.12,-44.93
50,5.11,0.11,-33.34,21.3,0.13,-44.52
60,5.11,0.11,-33.34,21.3,0.14,-44.12
70,5.11,0.11,-33.34,21.3,0.14,-43.71
80,5.11,0.11,-33.34,21.3,0.15,-43.3
90,5.11,0.11,-33.34,21.3,0.15,-42.9
100,5.11,0.11,-33.34,21.3,0.16,-42.49
200,5.11,0.16,-30.09,21.3,0.54,-31.92
300,5.11,0.26,-25.87,21.3,1.19,-25.06
400,5.11,0.46,-20.91,21.3,2.33,-19.22
500,5.11,0.76,-16.55,21.3,3.86,-14.84
600,5.07,1.14,-12.96,21.3,5.39,-11.94
700,5.03,1.61,-9.89,21.1,7.28,-9.24
800,5.03,2.07,-7.71,21.1,8.76,-7.64
900,5.03,2.51,-6.04,21.1,10.5,-6.06
1000,4.98,2.89,-4.73,20.9,11.7,-5.04
1100,4.98,3.22,-3.79,20.8,12.8,-4.25
1200,4.94,3.46,-3.09,20.7,13.9,-3.46
1300,4.94,3.66,-2.6,20.7,14.9,-2.88
1400,4.94,3.86,-2.14,20.7,15.9,-2.29
1500,4.9,3.98,-1.81,20.5,16.4,-1.94
1600,4.9,4.06,-1.63,20.3,16.9,-1.59
1700,4.9,4.18,-1.38,20.3,17.2,-1.44
1800,4.86,4.22,-1.23,20.3,17.5,-1.29
1900,4.86,4.26,-1.14,20.3,17.9,-1.1
2000,4.86,4.34,-0.98,20.3,18.3,-0.9
3000,4.86,4.58,-0.52,20.3,19.1,-0.53
4000,4.86,4.66,-0.37,20.3,19.3,-0.44
5000,4.86,4.7,-0.29,20.3,19.57,-0.32
5500,4.86,4.72,-0.26,20.3,19.7,-0.26
6000,4.86,4.74,-0.22,NaN,NaN,NaN
7000,4.86,4.74,-0.22,NaN,NaN,NaN
8000,4.86,4.78,-0.14,NaN,NaN,NaN
9000,4.86,4.78,-0.14,NaN,NaN,NaN
10000,4.86,4.78,-0.14,NaN,NaN,NaN
20000,4.86,4.78,-0.14,NaN,NaN,NaN
30000,4.86,4.78,-0.14,NaN,NaN,NaN
40000,4.86,4.78,-0.14,NaN,NaN,NaN
50000,4.86,4.74,-0.22,NaN,NaN,NaN
60000,4.86,4.74,-0.22,NaN,NaN,NaN
70000,4.86,4.74,-0.22,NaN,NaN,NaN
80000,4.86,4.7,-0.29,NaN,NaN,NaN
90000,4.86,4.7,-0.29,NaN,NaN,NaN
100000,4.86,4.7,-0.29,NaN,NaN,NaN
200000,4.86,4.62,-0.44,NaN,NaN,NaN
300000,4.86,4.62,-0.44,NaN,NaN,NaN
400000,4.86,4.62,-0.44,NaN,NaN,NaN
500000,4.86,4.62,-0.44,NaN,NaN,NaN
600000,4.82,4.62,-0.37,NaN,NaN,NaN
700000,4.78,4.62,-0.3,NaN,NaN,NaN
800000,4.78,4.62,-0.3,NaN,NaN,NaN
900000,4.78,4.62,-0.3,NaN,NaN,NaN
1000000,4.78,4.62,-0.3,NaN,NaN,NaN
2000000,4.54,4.54,0,NaN,NaN,NaN
3000000,4.22,4.46,0.48,NaN,NaN,NaN
4000000,3.82,4.38,1.19,NaN,NaN,NaN
5000000,3.5,4.3,1.79,NaN,NaN,NaN
6000000,3.18,4.3,2.62,NaN,NaN,NaN
7000000,2.93,4.22,3.17,NaN,NaN,NaN
8000000,2.69,4.22,3.91,NaN,NaN,NaN
9000000,2.5,4.23,4.57,NaN,NaN,NaN
10000000,2.34,4.23,5.14,NaN,NaN,NaN
20000000,1.36,4.31,10.02,NaN,NaN,NaN
